               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099827,            0.052503,             0.02744,                   0,                   0,                   0,                   0,            0.087058,            0.030506,            0.026856,            0.070395,           0.0032895,           0.0032895
                   1,            0.091236,             0.03492,            0.026395,          2.9707e-05,           0.0075758,          1.7864e-05,           3.304e-06,            0.083139,            0.025013,            0.026684,            0.040362,             0.00659,             0.00659
                   2,            0.087155,            0.034638,            0.025497,           0.0018668,             0.26865,           0.0023192,           0.0006019,            0.075087,            0.022221,            0.025308,            0.010296,           0.0098576,           0.0098576
                   3,            0.083328,            0.034874,             0.02499,           0.0025283,             0.30711,           0.0051065,           0.0015756,            0.075457,            0.023721,            0.024263,           0.0098515,           0.0098515,           0.0098515
                   4,            0.078571,            0.031846,            0.024118,           0.0024499,             0.45455,            0.018529,           0.0042013,            0.072074,            0.022525,            0.024723,           0.0098515,           0.0098515,           0.0098515
                   5,            0.074504,            0.031045,            0.022724,           0.0035712,             0.66725,            0.025435,            0.007476,             0.07095,            0.021952,            0.026968,            0.009802,            0.009802,            0.009802
                   6,            0.072163,            0.030613,            0.020751,             0.15524,             0.12762,             0.10826,            0.051588,            0.064321,            0.021965,            0.021182,           0.0097525,           0.0097525,           0.0097525
                   7,            0.070308,            0.029509,            0.018416,              0.1682,             0.13753,            0.076643,            0.026661,            0.060672,            0.021162,            0.029723,            0.009703,            0.009703,            0.009703
                   8,            0.068318,            0.026273,            0.018126,             0.13043,             0.20571,             0.11408,            0.051096,            0.060106,            0.020635,            0.014582,           0.0096535,           0.0096535,           0.0096535
                   9,            0.067832,            0.026792,            0.017811,             0.22797,             0.15501,             0.12036,            0.046328,              0.0628,             0.02127,            0.019895,            0.009604,            0.009604,            0.009604
                  10,            0.065724,              0.0243,             0.01639,             0.25056,             0.30012,             0.23969,            0.088783,             0.05692,            0.020391,            0.017673,           0.0095545,           0.0095545,           0.0095545
                  11,            0.063023,            0.023954,            0.015107,             0.31763,             0.33683,             0.28416,             0.10205,            0.058417,            0.017956,            0.013285,            0.009505,            0.009505,            0.009505
                  12,            0.062173,            0.023915,            0.015068,             0.43857,             0.33858,             0.31722,             0.10831,            0.053258,             0.01727,            0.010875,           0.0094555,           0.0094555,           0.0094555
                  13,            0.060995,            0.022134,            0.012686,             0.65252,             0.41194,             0.47301,             0.18405,            0.052191,            0.015435,           0.0062825,            0.009406,            0.009406,            0.009406
                  14,            0.058387,            0.021504,            0.010875,             0.40729,             0.38742,             0.28518,            0.099077,             0.05595,            0.016433,            0.041694,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058113,             0.02056,           0.0095959,              0.6017,             0.42501,             0.46282,             0.18556,             0.05214,            0.014494,            0.013016,            0.009307,            0.009307,            0.009307
                  16,             0.05675,            0.018877,           0.0094395,              0.6439,             0.53274,             0.58829,             0.25006,            0.050423,            0.013454,           0.0068649,           0.0092575,           0.0092575,           0.0092575
