               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10863,            0.012174,             0.02686,          0.00083845,             0.13928,          0.00064906,          0.00019878,            0.093419,           0.0093474,            0.023594,            0.070435,            0.003285,            0.003285
                   1,             0.10279,            0.013479,            0.025734,          0.00095005,             0.16492,          0.00063709,          0.00015735,            0.097377,           0.0081452,            0.026638,            0.040402,           0.0065856,           0.0065856
                   2,             0.10066,            0.013566,            0.024465,          0.00042811,            0.098485,          0.00025736,          6.8584e-05,              0.1331,           0.0031783,             0.12163,            0.010336,           0.0098532,           0.0098532
                   3,            0.095231,            0.012846,            0.024282,                   0,                   0,                   0,                   0,             0.13338,            0.024465,             0.99742,           0.0098515,           0.0098515,           0.0098515
                   4,            0.089498,             0.01318,              0.0235,           0.0023692,            0.037879,           0.0019937,          0.00048372,              0.1023,            0.012987,            0.027609,           0.0098515,           0.0098515,           0.0098515
                   5,            0.082496,            0.013905,            0.023081,           0.0018123,             0.19988,           0.0012189,          0.00031185,             0.11861,           0.0077475,             0.13751,            0.009802,            0.009802,            0.009802
                   6,             0.07935,            0.013897,            0.024335,            0.051725,            0.037879,            0.034476,             0.01015,            0.078551,             0.01119,            0.021373,           0.0097525,           0.0097525,           0.0097525
                   7,             0.07589,            0.013871,            0.023334,             0.66828,            0.037879,            0.039266,            0.013796,            0.090293,            0.017459,            0.021483,            0.009703,            0.009703,            0.009703
                   8,            0.074575,            0.013734,            0.022889,             0.58736,            0.068182,             0.05867,            0.020215,            0.074067,           0.0093166,            0.019785,           0.0096535,           0.0096535,           0.0096535
                   9,             0.07344,            0.012892,             0.02298,              0.2895,             0.13272,            0.086608,             0.02937,            0.074549,           0.0096337,            0.020185,            0.009604,            0.009604,            0.009604
                  10,            0.072295,            0.013234,            0.023922,             0.28983,              0.1999,             0.10139,            0.031953,            0.074493,            0.010053,            0.020159,           0.0095545,           0.0095545,           0.0095545
                  11,            0.070897,            0.012838,            0.022352,             0.18269,             0.18007,            0.094297,            0.034275,            0.075287,            0.010501,            0.019129,            0.009505,            0.009505,            0.009505
                  12,            0.070743,            0.012716,            0.022638,             0.24422,             0.19493,             0.13851,            0.043521,             0.07528,           0.0085693,            0.017675,           0.0094555,           0.0094555,           0.0094555
                  13,            0.067694,            0.012243,            0.021456,             0.32316,             0.25804,             0.18784,            0.054082,            0.072656,            0.008743,            0.019321,            0.009406,            0.009406,            0.009406
                  14,            0.069013,            0.012213,            0.021593,             0.18613,             0.26361,             0.14833,            0.053496,             0.07252,           0.0085046,            0.018315,           0.0093565,           0.0093565,           0.0093565
                  15,            0.066491,            0.012006,            0.019738,             0.23196,             0.19289,             0.14546,            0.048575,            0.072146,           0.0083468,            0.015642,            0.009307,            0.009307,            0.009307
                  16,            0.067248,            0.012114,            0.019281,             0.39218,             0.27389,             0.22287,            0.084131,            0.071059,           0.0088359,              0.0147,           0.0092575,           0.0092575,           0.0092575
                  17,            0.066526,            0.011176,            0.017138,             0.16344,             0.17366,            0.064698,            0.023265,             0.07721,            0.011317,            0.040177,            0.009208,            0.009208,            0.009208
                  18,            0.065763,            0.012083,            0.017336,             0.38565,             0.23768,             0.22876,            0.084745,             0.07031,           0.0086714,            0.013017,           0.0091585,           0.0091585,           0.0091585
                  19,            0.065815,             0.01132,            0.015516,             0.33951,             0.25175,             0.19796,            0.054157,            0.073064,           0.0078732,            0.015068,            0.009109,            0.009109,            0.009109
                  20,            0.063599,            0.011966,            0.014497,              0.5499,             0.25117,             0.25943,            0.095872,            0.072621,           0.0076786,            0.011968,           0.0090595,           0.0090595,           0.0090595
                  21,            0.063294,            0.011345,            0.012986,              0.3372,             0.23198,             0.19583,            0.070192,            0.068975,           0.0081901,            0.010796,             0.00901,             0.00901,             0.00901
                  22,            0.063482,            0.011737,            0.014139,             0.60001,             0.27914,             0.29559,             0.11442,            0.070416,           0.0076108,            0.011638,           0.0089605,           0.0089605,           0.0089605
                  23,            0.063953,            0.011466,            0.013786,              0.4634,             0.29487,             0.31317,             0.11278,            0.072112,            0.007365,            0.016562,            0.008911,            0.008911,            0.008911
                  24,             0.06402,            0.010945,              0.0112,             0.40841,              0.2803,             0.22876,             0.07536,             0.07069,           0.0099914,            0.022169,           0.0088615,           0.0088615,           0.0088615
                  25,            0.061509,            0.010982,            0.011311,             0.52384,             0.25117,              0.2908,             0.10962,             0.06931,            0.007261,            0.024488,            0.008812,            0.008812,            0.008812
                  26,            0.062722,            0.010649,            0.011063,             0.50792,             0.29487,             0.31978,             0.10632,            0.067518,           0.0071814,            0.010609,           0.0087625,           0.0087625,           0.0087625
                  27,            0.062348,            0.010481,            0.010215,             0.72178,             0.28612,             0.36539,             0.14078,            0.073576,           0.0065035,            0.010437,            0.008713,            0.008713,            0.008713
                  28,            0.059442,            0.011234,            0.010168,             0.43047,             0.26057,             0.23209,            0.062654,            0.074016,           0.0094297,            0.020799,           0.0086635,           0.0086635,           0.0086635
                  29,            0.059685,            0.010825,            0.010121,             0.42215,             0.30245,             0.31953,             0.11811,            0.072729,           0.0074177,             0.01627,            0.008614,            0.008614,            0.008614
                  30,             0.05992,             0.01045,            0.011109,             0.53007,             0.36242,             0.36443,             0.13343,             0.06809,            0.006833,            0.012278,           0.0085645,           0.0085645,           0.0085645
                  31,            0.060298,              0.0111,           0.0091001,             0.53506,               0.338,             0.36579,             0.13592,            0.071505,           0.0063062,            0.011147,            0.008515,            0.008515,            0.008515
                  32,            0.058756,            0.010462,            0.010467,             0.45755,             0.32884,             0.33939,             0.13322,             0.06981,           0.0067224,            0.017135,           0.0084655,           0.0084655,           0.0084655
                  33,            0.060638,            0.010314,           0.0096987,             0.49081,             0.29953,             0.29958,             0.10612,            0.068981,           0.0075271,            0.018064,            0.008416,            0.008416,            0.008416
